CHOTI,"KIANG HUAT SEA GULL TRADING FROZEN FOOD PUBLIC CO., LTD.",AGRO,AGRI
EE,ETERNAL ENERGY PUBLIC COMPANY LIMITED,AGRO,AGRI
GFPT,GFPT PUBLIC COMPANY LIMITED,AGRO,AGRI
LEE,LEE FEED MILL PUBLIC COMPANY LIMITED,AGRO,AGRI
STA,SRI TRANG AGRO-INDUSTRY PUBLIC COMPANY LIMITED,AGRO,AGRI
TLUXE,THAILUXE ENTERPRISES PUBLIC COMPANY LIMITED,AGRO,AGRI
TRUBB,"THAI RUBBER LATEX CORPORATION (THAILAND) PUBLIC CO.,LTD.",AGRO,AGRI
TWPC,THAI WAH PUBLIC COMPANY LIMITED,AGRO,AGRI
UPOIC,UNITED PALM OIL INDUSTRY PUBLIC COMPANY LIMITED,AGRO,AGRI
UVAN,UNIVANICH PALM OIL PUBLIC COMPANY LIMITED,AGRO,AGRI
VPO,VICHITBHAN PALMOIL PUBLIC COMPANY LIMITED,AGRO,AGRI
APURE,AGRIPURE HOLDINGS PUBLIC COMPANY LIMITED,AGRO,FOOD
ASIAN,ASIAN SEAFOODS COLDSTORAGE PUBLIC COMPANY LIMITED,AGRO,FOOD
BR,BANGKOK RANCH PUBLIC COMPANY LIMITED,AGRO,FOOD
BRR,BURIRAM SUGAR PUBLIC COMPANY LIMITED,AGRO,FOOD
CBG,CARABAO GROUP PUBLIC COMPANY LIMITED,AGRO,FOOD
CFRESH,SEAFRESH INDUSTRY PUBLIC COMPANY LIMITED,AGRO,FOOD
CM,CHIANGMAI FROZEN FOODS PUBLIC COMPANY LIMITED,AGRO,FOOD
CPF,CHAROEN POKPHAND FOODS PUBLIC COMPANY LIMITED,AGRO,FOOD
CPI,CHUMPORN PALM OIL INDUSTRY PUBLIC COMPANY LIMITED,AGRO,FOOD
F&D,FOOD AND DRINKS PUBLIC COMPANY LIMITED,AGRO,FOOD
HTC,HAAD THIP PUBLIC COMPANY LIMITED,AGRO,FOOD
ICHI,ICHITAN GROUP PUBLIC COMPANY LIMITED,AGRO,FOOD
KBS,KHONBURI SUGAR PUBLIC COMPANY LIMITED,AGRO,FOOD
KSL,KHON KAEN SUGAR INDUSTRY PUBLIC COMPANY LIMITED,AGRO,FOOD
KTIS,KASET THAI INTERNATIONAL SUGAR CORPORATION PUBLIC COMPANY LIMITED,AGRO,FOOD
LST,LAM SOON (THAILAND) PUBLIC COMPANY LIMITED,AGRO,FOOD
M,MK RESTAURANT GROUP PUBLIC COMPANY LIMITED,AGRO,FOOD
MALEE,MALEE GROUP PUBLIC COMPANY LIMITED,AGRO,FOOD
MINT,MINOR INTERNATIONAL PUBLIC COMPANY LIMITED,AGRO,FOOD
OISHI,OISHI GROUP PUBLIC COMPANY LIMITED,AGRO,FOOD
PB,PRESIDENT BAKERY PUBLIC COMPANY LIMITED,AGRO,FOOD
PM,PREMIER MARKETING PUBLIC COMPANY LIMITED,AGRO,FOOD
PRG,PATUM RICE MILL AND GRANARY PUBLIC COMPANY LIMTED,AGRO,FOOD
SAPPE,SAPPE PUBLIC COMPANY LIMITED,AGRO,FOOD
SAUCE,THAITHEPAROS PUBLIC COMPANY LIMITED,AGRO,FOOD
SFP,SIAM FOOD PRODUCTS PUBLIC COMPANY LIMITED,AGRO,FOOD
SNP,S & P SYNDICATE PUBLIC COMPANY LIMITED,AGRO,FOOD
SORKON,S. KHONKAEN FOODS PUBLIC COMPANY LIMITED,AGRO,FOOD
SSC,SERMSUK PUBLIC COMPANY LIMITED,AGRO,FOOD
SSF,SURAPON FOODS PUBLIC COMPANY LIMITED,AGRO,FOOD
SST,SUB SRI THAI PUBLIC COMPANY LIMITED,AGRO,FOOD
TC,TROPICAL CANNING (THAILAND) PUBLIC COMPANY LIMITED,AGRO,FOOD
TFG,THAIFOODS GROUP PUBLIC COMPANY LIMITED,AGRO,FOOD
TFMAMA,THAI PRESIDENT FOODS PUBLIC COMPANY LIMITED,AGRO,FOOD
